haplotype	first	last	duration	total	prefecture
1	2021-05-18	2021-09-21	127	198	Kanagawa
1	2021-06-05	2021-08-11	68	3	Iwate
1	2021-06-10	2021-09-29	112	1030	Tokyo
1	2021-06-17	2021-09-14	90	281	Saitama
1	2021-06-24	2021-09-10	79	100	Chiba
1	2021-06-24	2021-09-07	76	6	Kagawa
1	2021-06-26	2021-08-30	66	49	Ibaraki
1	2021-06-28	2021-09-01	66	64	Fukuoka
1	2021-06-30	2021-09-03	66	33	Gunma
1	2021-06-30	2021-10-05	98	268	Osaka
1	2021-07-05	2021-08-20	47	7	Toyama
1	2021-07-06	2021-09-02	59	70	Hokkaido
1	2021-07-09	2021-08-19	42	23	Mie
1	2021-07-10	2021-08-29	51	7	Hiroshima
1	2021-07-12	2021-08-23	43	16	Yamaguchi
1	2021-07-16	2021-09-13	60	27	Tochigi
1	2021-07-19	2021-08-27	40	28	Aichi
1	2021-07-20	2021-08-30	42	9	Kumamoto
1	2021-07-22	2021-09-08	49	9	Yamanashi
1	2021-07-23	2021-10-01	71	39	Shizuoka
1	2021-07-24	2021-10-05	74	12	Wakayama
1	2021-07-25	2021-08-29	36	4	Nagasaki
1	2021-07-26	2021-09-27	64	22	Kyoto
1	2021-07-26	2021-08-13	19	14	Nagano
1	2021-07-26	2021-08-21	27	36	Miyagi
1	2021-07-26	2021-10-13	80	120	Hyogo
1	2021-07-26	2021-08-18	24	8	Shiga
1	2021-07-27	2021-08-14	19	4	Miyazaki
1	2021-07-27	2021-08-25	30	7	Nara
1	2021-07-27	2021-09-06	42	28	Yamagata
1	2021-07-29	2021-09-26	60	9	Oita
1	2021-07-29	2021-08-27	30	5	Okinawa
1	2021-07-31	2021-09-10	42	11	Fukui
1	2021-08-02	2021-08-02	1	1	Gifu
1	2021-08-03	2021-08-08	6	3	Tokushima
1	2021-08-03	2021-08-03	1	1	Ehime
1	2021-08-04	2021-08-05	2	3	Akita
1	2021-08-06	2021-08-07	2	2	Fukushima
1	2021-08-07	2021-08-27	21	3	Kagoshima
1	2021-08-10	2021-08-17	8	3	Ishikawa
1	2021-08-11	2021-08-26	16	6	Saga
1	2021-08-11	2021-08-30	20	15	Okayama
1	2021-08-12	2021-08-22	11	4	Niigata
1	2021-08-19	2021-08-19	1	1	Shimane
1.1	2021-08-21	2021-09-12	23	2	Gunma
1.1	2021-09-06	2021-09-06	1	1	Shizuoka
1.1	2021-09-13	2021-10-01	19	2	Chiba
1.1	2021-09-22	2021-09-29	8	2	Tokyo
1.2	2021-07-12	2021-09-06	57	50	Saitama
1.2	2021-07-12	2021-10-05	86	261	Tokyo
1.2	2021-07-16	2021-08-19	35	17	Nagano
1.2	2021-07-17	2021-09-05	51	28	Ibaraki
1.2	2021-07-18	2021-09-27	72	27	Chiba
1.2	2021-07-19	2021-09-16	60	58	Kanagawa
1.2	2021-07-20	2021-09-16	59	50	Osaka
1.2	2021-07-20	2021-08-27	39	16	Tochigi
1.2	2021-07-22	2021-08-26	36	11	Shizuoka
1.2	2021-07-24	2021-08-26	34	31	Hokkaido
1.2	2021-07-25	2021-09-08	46	9	Gunma
1.2	2021-07-25	2021-07-25	1	1	Fukushima
1.2	2021-07-26	2021-09-23	60	8	Hyogo
1.2	2021-07-26	2021-08-02	8	3	Miyagi
1.2	2021-07-28	2021-09-08	43	28	Aichi
1.2	2021-07-28	2021-07-28	1	1	Okinawa
1.2	2021-07-29	2021-08-27	30	26	Ishikawa
1.2	2021-07-29	2021-08-22	25	21	Fukuoka
1.2	2021-07-30	2021-07-30	1	1	Toyama
1.2	2021-07-31	2021-08-25	26	6	Niigata
1.2	2021-08-02	2021-08-31	30	3	Fukui
1.2	2021-08-02	2021-08-26	25	2	Saga
1.2	2021-08-14	2021-08-14	1	1	Kagawa
1.2	2021-08-14	2021-08-30	17	3	Yamanashi
1.2	2021-08-16	2021-08-25	10	6	Shiga
1.2	2021-08-18	2021-09-03	17	3	Gifu
1.2	2021-08-19	2021-08-19	1	1	Yamaguchi
1.2	2021-08-20	2021-08-20	1	2	Hiroshima
1.2	2021-08-21	2021-09-01	12	5	Mie
1.2	2021-08-23	2021-08-31	9	4	Okayama
1.2	2021-08-24	2021-09-08	16	4	Kyoto
1.2	2021-09-01	2021-09-08	8	5	Tottori
1.2.2	2021-07-25	2021-08-07	14	14	Fukushima
1.2.2	2021-07-27	2021-07-29	3	3	Ibaraki
1.2.2	2021-07-29	2021-08-06	9	5	Tokyo
1.2.2	2021-08-04	2021-08-13	10	3	Kanagawa
1.2.2	2021-08-08	2021-08-08	1	1	Shizuoka
1.2.2	2021-08-13	2021-08-13	1	1	Osaka
1.2.2.1	2021-08-07	2021-09-16	41	6	Tokyo
1.2.2.1	2021-08-12	2021-08-23	12	3	Hyogo
1.2.2.1	2021-08-20	2021-08-21	2	2	Kanagawa
1.2.2.1	2021-08-21	2021-08-21	1	1	Osaka
1.2.2.1.1	2021-08-18	2021-08-31	14	3	Kanagawa
