haplotype	first	last	duration	total	prefecture
1	2021-05-18	2021-09-21	127	198	Kanagawa
1	2021-06-10	2021-09-29	112	1030	Tokyo
1	2021-06-17	2021-09-14	90	281	Saitama
1	2021-06-24	2021-09-10	79	100	Chiba
1	2021-06-26	2021-08-30	66	49	Ibaraki
1	2021-06-28	2021-09-01	66	64	Fukuoka
1	2021-06-30	2021-09-03	66	33	Gunma
1	2021-06-30	2021-10-05	98	268	Osaka
1	2021-07-06	2021-09-02	59	70	Hokkaido
1	2021-07-09	2021-08-19	42	23	Mie
1	2021-07-12	2021-08-23	43	16	Yamaguchi
1	2021-07-16	2021-09-13	60	27	Tochigi
1	2021-07-19	2021-08-27	40	28	Aichi
1	2021-07-23	2021-10-01	71	39	Shizuoka
1	2021-07-24	2021-10-05	74	12	Wakayama
1	2021-07-26	2021-09-27	64	22	Kyoto
1	2021-07-26	2021-08-13	19	14	Nagano
1	2021-07-26	2021-08-21	27	36	Miyagi
1	2021-07-26	2021-10-13	80	120	Hyogo
1	2021-07-27	2021-09-06	42	28	Yamagata
1	2021-07-31	2021-09-10	42	11	Fukui
1	2021-08-11	2021-08-30	20	15	Okayama
1.2	2021-07-12	2021-09-06	57	50	Saitama
1.2	2021-07-12	2021-10-05	86	261	Tokyo
1.2	2021-07-16	2021-08-19	35	17	Nagano
1.2	2021-07-17	2021-09-05	51	28	Ibaraki
1.2	2021-07-18	2021-09-27	72	27	Chiba
1.2	2021-07-19	2021-09-16	60	58	Kanagawa
1.2	2021-07-20	2021-09-16	59	50	Osaka
1.2	2021-07-20	2021-08-27	39	16	Tochigi
1.2	2021-07-22	2021-08-26	36	11	Shizuoka
1.2	2021-07-24	2021-08-26	34	31	Hokkaido
1.2	2021-07-28	2021-09-08	43	28	Aichi
1.2	2021-07-29	2021-08-27	30	26	Ishikawa
1.2	2021-07-29	2021-08-22	25	21	Fukuoka
1.2.2	2021-07-25	2021-08-07	14	14	Fukushima
1.2.2.2	2021-07-28	2021-09-06	41	12	Tokyo
1.2.6	2021-07-30	2021-09-15	48	14	Tokyo
1.2.6	2021-08-06	2021-09-20	46	13	Aichi
1.2.6.1	2021-08-19	2021-09-21	34	14	Osaka
1.2.12	2021-07-29	2021-08-21	24	11	Tokyo
1.2.12.5.1.1	2021-08-12	2021-09-09	29	14	Okayama
1.2.12.5.1.1.1	2021-08-11	2021-08-30	20	17	Okayama
1.2.21	2021-08-02	2021-09-09	39	20	Hokkaido
1.2.21.1	2021-08-13	2021-09-13	32	17	Hokkaido
1.2.58	2021-08-18	2021-09-21	35	15	Fukuoka
1.2.70.1	2021-07-24	2021-09-04	43	16	Kanagawa
1.2.70.1	2021-08-05	2021-09-04	31	23	Tokyo
1.2.104.1.1	2021-08-11	2021-09-08	29	15	Okayama
1.4	2021-07-06	2021-09-08	65	95	Kyoto
1.4	2021-07-08	2021-09-17	72	13	Tokyo
1.4	2021-07-17	2021-09-16	62	151	Osaka
1.4	2021-07-24	2021-08-23	31	11	Hokkaido
1.4	2021-07-26	2021-09-14	51	19	Shiga
1.4	2021-08-04	2021-09-22	50	39	Hyogo
1.4	2021-08-04	2021-09-01	29	12	Nara
1.4	2021-08-15	2021-09-03	20	14	Mie
1.4.1	2021-07-26	2021-09-06	43	12	Kyoto
1.4.2|1.59.1	2021-08-13	2021-09-01	20	12	Osaka
1.4.8|1.111.1	2021-08-13	2021-08-18	6	13	Mie
1.4.17	2021-08-25	2021-09-18	25	14	Osaka
1.4.23	2021-08-12	2021-09-04	24	33	Osaka
1.4.45.1	2021-08-30	2021-09-03	5	11	Shiga
1.4.45.2	2021-08-30	2021-09-04	6	12	Shiga
1.4.48.1	2021-08-16	2021-09-02	18	22	Hokkaido
1.5	2021-07-28	2021-08-25	29	45	Okinawa
1.5	2021-08-05	2021-09-07	34	12	Osaka
1.5	2021-08-10	2021-10-06	58	14	Hyogo
1.5	2021-08-16	2021-09-06	22	12	Gunma
1.7.1	2021-08-06	2021-08-23	18	22	Shizuoka
1.7.1	2021-08-13	2021-08-26	14	11	Saitama
1.11	2021-07-21	2021-09-01	43	82	Fukuoka
1.11	2021-07-22	2021-09-07	48	84	Kagoshima
1.11	2021-07-26	2021-09-02	39	21	Yamaguchi
1.11.1	2021-07-21	2021-09-07	49	186	Fukuoka
1.11.1	2021-07-26	2021-08-05	11	12	Nagasaki
1.11.1	2021-07-29	2021-09-02	36	14	Miyazaki
1.11.1.1	2021-07-27	2021-08-20	25	14	Fukuoka
1.11.1.4	2021-07-26	2021-09-13	50	38	Fukuoka
1.11.1.4.5	2021-08-07	2021-08-22	16	12	Fukuoka
1.11.1.4.6.2	2021-08-13	2021-09-08	27	12	Osaka
1.11.1.5	2021-08-05	2021-09-02	29	30	Fukuoka
1.11.1.8	2021-07-26	2021-08-31	37	13	Fukuoka
1.11.1.9	2021-08-11	2021-08-16	6	12	Fukuoka
1.11.1.31.2	2021-09-21	2021-09-28	8	26	Fukuoka
1.11.7	2021-08-08	2021-08-26	19	21	Fukuoka
1.11.7.2	2021-08-10	2021-09-14	36	70	Fukuoka
1.11.7.3	2021-08-08	2021-08-19	12	12	Fukuoka
1.11.7.4	2021-08-12	2021-09-03	23	30	Fukuoka
1.11.8	2021-08-06	2021-08-31	26	37	Fukuoka
1.11.10	2021-08-06	2021-09-04	30	21	Fukuoka
1.14	2021-08-04	2021-09-17	45	21	Tokyo
1.19	2021-08-14	2021-09-07	25	13	Osaka
1.25	2021-07-23	2021-08-16	25	12	Hyogo
1.25	2021-07-30	2021-08-30	32	17	Osaka
1.31	2021-07-08	2021-08-27	51	21	Kanagawa
1.31	2021-07-08	2021-09-16	71	112	Tokyo
1.31	2021-07-12	2021-09-13	64	68	Saitama
1.31	2021-07-16	2021-09-10	57	31	Chiba
1.31	2021-07-20	2021-09-14	57	80	Ibaraki
1.31.2	2021-07-29	2021-09-28	62	11	Tokyo
1.31.2	2021-08-10	2021-09-03	25	17	Kanagawa
1.31.2.3	2021-08-23	2021-09-17	26	15	Tokushima
1.31.4|1.320.1	2021-07-25	2021-08-26	33	24	Tokyo
1.31.5	2021-07-22	2021-08-24	34	12	Tokyo
1.31.5	2021-07-22	2021-08-07	17	21	Hyogo
1.31.5	2021-08-05	2021-08-19	15	27	Shimane
1.31.5.1	2021-07-26	2021-08-26	32	33	Hyogo
1.31.5.1.1	2021-09-06	2021-09-21	16	22	Hyogo
1.31.6	2021-07-29	2021-08-27	30	14	Tokyo
1.34	2021-07-19	2021-08-04	17	11	Saitama
1.34	2021-07-20	2021-08-14	26	13	Gunma
1.34.1	2021-08-02	2021-08-20	19	19	Gunma
1.34.2.2	2021-07-28	2021-08-25	29	12	Saitama
1.35	2021-07-28	2021-09-04	39	17	Okinawa
1.35.2	2021-07-31	2021-08-31	32	13	Okinawa
1.35.2.2	2021-08-17	2021-10-02	47	18	Hyogo
1.35.3	2021-08-01	2021-08-27	27	23	Okinawa
1.35.3	2021-08-14	2021-10-01	49	20	Osaka
1.35.4	2021-07-27	2021-09-08	44	16	Okinawa
1.35.4.1	2021-08-06	2021-10-18	74	15	Osaka
1.35.6.1	2021-08-12	2021-09-03	23	21	Kagoshima
1.35.6.1.1	2021-08-29	2021-09-08	11	28	Kagoshima
1.40	2021-07-20	2021-08-27	39	19	Tokyo
1.42.1	2021-07-18	2021-09-04	49	76	Tokyo
1.42.1	2021-07-20	2021-08-31	43	16	Chiba
1.42.1	2021-07-26	2021-08-21	27	21	Osaka
1.42.1.4	2021-08-03	2021-08-25	23	20	Kagawa
1.46	2021-07-28	2021-09-04	39	18	Hyogo
1.52	2021-07-27	2021-08-20	25	21	Nagasaki
1.52	2021-08-01	2021-09-16	47	44	Mie
1.52.6	2021-08-10	2021-09-06	28	21	Mie
1.52.6.4	2021-09-03	2021-10-02	30	15	Hyogo
1.59	2021-07-21	2021-08-28	39	58	Tokyo
1.59.3	2021-07-28	2021-09-06	41	17	Tokyo
1.62	2021-06-01	2021-08-23	84	12	Kanagawa
1.62	2021-06-26	2021-09-01	68	54	Tokyo
1.62	2021-07-13	2021-08-31	50	16	Saitama
1.64.2.1	2021-07-22	2021-08-27	37	12	Tokyo
1.66	2021-08-06	2021-09-13	39	13	Osaka
1.71	2021-08-08	2021-09-06	30	17	Tokyo
1.71	2021-08-20	2021-09-16	28	11	Kanagawa
1.89	2021-07-20	2021-08-28	40	12	Tokyo
1.89.6.1	2021-07-29	2021-08-28	31	64	Okayama
1.89.6.1.1	2021-08-11	2021-09-04	25	39	Okayama
1.89.6.1.1.1	2021-08-12	2021-09-02	22	11	Okayama
1.96	2021-08-12	2021-09-10	30	48	Okayama
1.98	2021-07-18	2021-09-15	60	28	Tokyo
1.98.2	2021-07-29	2021-09-06	40	12	Kanagawa
1.104.1|1.115.2	2021-07-15	2021-09-08	56	192	Osaka
1.104.1|1.115.2	2021-07-19	2021-09-09	53	70	Hyogo
1.104.1.10	2021-07-21	2021-08-31	42	32	Hyogo
1.104.1.10	2021-07-26	2021-09-24	61	25	Osaka
1.104.1.10.2	2021-08-14	2021-09-13	31	13	Hyogo
1.104.1.29	2021-08-05	2021-08-16	12	13	Hyogo
1.104.1.43.1.1	2021-08-04	2021-08-20	17	15	Hyogo
1.104.7|1.314.1	2021-07-31	2021-08-11	12	13	Hiroshima
1.115	2021-06-13	2021-09-03	83	100	Tokyo
1.115	2021-06-22	2021-09-08	79	18	Kanagawa
1.115	2021-07-14	2021-08-27	45	13	Chiba
1.115	2021-07-15	2021-08-27	44	12	Osaka
