haplotype	first	last	duration	total	prefecture
1.195.2.60	2021-08-04	2021-09-13	41	57	Shizuoka
1.195.2.60	2021-08-15	2021-08-15	1	1	Ishikawa
1.195.2.60.1	2021-08-30	2021-09-02	4	2	Shizuoka
1.195.2.60.2	2021-08-25	2021-08-31	7	3	Shizuoka
1.195.2.60.3	2021-08-24	2021-09-01	9	2	Shizuoka
1.195.2.60.4	2021-08-19	2021-09-17	30	5	Shizuoka
1.195.2.60.5	2021-09-15	2021-09-16	2	3	Shizuoka
1.195.2.60.6	2021-09-06	2021-09-10	5	2	Shizuoka
1.195.2	2021-06-04	2021-09-08	97	229	Kanagawa
1.195.2	2021-06-09	2021-09-15	99	840	Tokyo
1.195.2	2021-06-09	2021-09-04	88	185	Chiba
1.195.2	2021-06-15	2021-09-07	85	39	Ibaraki
1.195.2	2021-06-18	2021-08-06	50	2	Miyazaki
1.195.2	2021-06-19	2021-08-31	74	4	Ishikawa
1.195.2	2021-06-19	2021-09-17	91	221	Osaka
1.195.2	2021-06-21	2021-08-23	64	30	Tochigi
1.195.2	2021-06-21	2021-09-17	89	161	Saitama
1.195.2	2021-06-24	2021-09-04	73	30	Hokkaido
1.195.2	2021-06-27	2021-08-23	58	15	Hiroshima
1.195.2	2021-06-28	2021-08-30	64	8	Shiga
1.195.2	2021-07-01	2021-09-14	76	135	Hyogo
1.195.2	2021-07-01	2021-08-27	58	22	Gunma
1.195.2	2021-07-01	2021-08-26	57	10	Gifu
1.195.2	2021-07-02	2021-09-08	69	70	Shizuoka
1.195.2	2021-07-02	2021-09-01	62	17	Nagano
1.195.2	2021-07-09	2021-08-18	41	3	Fukui
1.195.2	2021-07-12	2021-09-21	72	93	Miyagi
1.195.2	2021-07-12	2021-08-31	51	12	Kyoto
1.195.2	2021-07-15	2021-07-31	17	3	Kumamoto
1.195.2	2021-07-15	2021-08-24	41	11	Fukushima
1.195.2	2021-07-16	2021-08-05	21	3	Toyama
1.195.2	2021-07-16	2021-09-13	60	11	Mie
1.195.2	2021-07-17	2021-08-23	38	25	Okinawa
1.195.2	2021-07-19	2021-08-24	37	18	Aichi
1.195.2	2021-07-21	2021-09-02	44	6	Kagoshima
1.195.2	2021-07-21	2021-08-29	40	21	Fukuoka
1.195.2	2021-07-22	2021-07-24	3	3	Ehime
