haplotype	first	last	duration	total	prefecture
1	2021-03-08	2021-07-01	116	41	Hyogo
1	2021-03-10	2021-05-28	80	187	Osaka
1	2021-03-19	2021-05-07	50	32	Tokushima
1	2021-03-19	2021-04-23	36	39	Ehime
1	2021-03-19	2021-06-03	77	14	Gifu
1	2021-03-22	2021-05-15	55	51	Wakayama
1	2021-03-22	2021-05-19	59	21	Kyoto
1	2021-03-23	2021-06-18	88	122	Aichi
1	2021-03-24	2021-06-14	83	32	Hokkaido
1	2021-03-24	2021-06-02	71	108	Tokyo
1	2021-03-24	2021-05-28	66	46	Hiroshima
1	2021-03-27	2021-05-22	57	238	Fukuoka
1	2021-03-29	2021-05-18	51	29	Okayama
1	2021-03-29	2021-05-31	64	37	Chiba
1	2021-03-30	2021-06-16	79	51	Kanagawa
1	2021-03-30	2021-06-14	77	43	Okinawa
1	2021-03-30	2021-05-31	63	49	Saitama
1	2021-03-31	2021-05-18	49	29	Kumamoto
1	2021-04-02	2021-05-21	50	24	Gunma
1	2021-04-02	2021-05-16	45	27	Nara
1	2021-04-07	2021-05-11	35	31	Yamaguchi
1	2021-04-09	2021-06-03	56	79	Kagoshima
1	2021-05-05	2021-06-11	38	17	Oita
1.1	2021-03-23	2021-04-24	33	15	Aichi
1.2	2021-04-14	2021-04-29	16	11	Kumamoto
1.29	2021-03-29	2021-06-07	71	12	Ibaraki
1.29	2021-03-30	2021-06-11	74	45	Tokyo
1.29	2021-04-01	2021-05-02	32	25	Nagano
1.29	2021-04-22	2021-06-26	66	27	Chiba
1.29.4	2021-04-03	2021-06-09	68	31	Tokyo
1.29.4.7.1	2021-05-17	2021-07-16	61	28	Tokyo
1.29.4.17	2021-04-28	2021-05-17	20	11	Tokyo
1.29.4.17.1	2021-05-04	2021-06-01	29	11	Tokyo
1.29.x.1.x.1	2021-04-23	2021-05-31	39	11	Tokyo
1.29.x.1.x.1.1	2021-05-17	2021-08-12	88	39	Tokyo
1.29.x.1.x.1.1	2021-06-05	2021-07-06	32	14	Chiba
1.29.x.1.x.1.1	2021-06-22	2021-07-26	35	12	Kanagawa
1.29.x.6	2021-05-21	2021-06-09	20	16	Yamanashi
1.29.x.6.x.1	2021-06-06	2021-07-01	26	13	Yamanashi
1.33	2021-04-06	2021-05-20	45	13	Hiroshima
1.33	2021-04-06	2021-06-28	84	36	Mie
