haplotype	first	last	duration	total	prefecture
1.17.1.6.2.1.x.1	2021-01-24	2021-01-28	5	4	Gifu
1.17.1.6.x.1.3.x.2	2021-01-05	2021-01-10	6	2	Kagoshima
1.32.10.8.1.2	2021-01-07	2021-01-24	18	5	Chiba
1.32.10.8.1.2	2021-01-31	2021-02-01	2	2	Hokkaido
1.32.10.8.1.2.1	2021-01-04	2021-01-04	1	1	Tokyo
1.32.10.8.1.2.1	2021-01-12	2021-01-12	1	1	Fukushima
1.32.10.8.1.2.1	2021-01-15	2021-01-15	1	1	Kanagawa
1.32.10.8.1.2.2	2021-02-02	2021-02-15	14	2	Hokkaido
1.32.10.10.1	2021-01-04	2021-01-05	2	2	Miyagi
1.32.10.10.1	2021-01-07	2021-01-10	4	2	Fukushima
1.32.10.10.1	2021-01-25	2021-01-25	1	1	Aichi
1.32.10.10.1.5	2021-01-06	2021-01-06	1	1	Miyagi
1.32.10.10.1.6	2021-01-03	2021-01-05	3	3	Miyagi
1.32.10.10.1.8.1	2021-01-04	2021-01-04	1	2	Miyagi
1.32.10.10.1.x.1	2021-01-02	2021-01-04	3	2	Iwate
1.32.10.16.1	2021-01-03	2021-01-03	1	1	Yamaguchi
1.32.10.16.2	2021-01-10	2021-02-01	23	2	Osaka
1.32.10.16.3.x.1	2021-01-03	2021-01-06	4	2	Hiroshima
1.32.10.16.3.x.1	2021-01-08	2021-01-08	1	1	Wakayama
1.32.10.16.3.x.2	2021-01-02	2021-02-01	31	29	Yamaguchi
1.32.10.16.3.x.2.1	2021-01-26	2021-03-01	35	9	Yamaguchi
1.32.10.16.3.x.2.x.1	2021-01-03	2021-01-03	1	1	Yamaguchi
1.32.10.16.3.x.2.x.2	2021-02-02	2021-02-09	8	4	Yamaguchi
1.32.10.16.4	2021-01-04	2021-01-04	1	1	Saitama
1.32.10.16.4	2021-01-05	2021-01-05	1	1	Ishikawa
1.32.10.16.4.1.x.1	2021-01-08	2021-01-21	14	13	Miyagi
1.32.10.16.4.1.x.1.1	2021-01-17	2021-01-30	14	2	Miyagi
1.32.10.16.4.2	2021-01-06	2021-01-06	1	1	Kanagawa
1.32.10.16.4.2.1	2021-01-06	2021-01-06	1	1	Saitama
1.32.10.16.4.2.1	2021-01-13	2021-01-13	1	1	Tokyo
1.32.10.x.2	2021-01-04	2021-01-21	18	9	Fukuoka
1.32.10.x.2.2	2021-01-10	2021-01-22	13	6	Hyogo
1.32.10.x.2.3	2021-01-02	2021-01-02	1	2	Fukuoka
1.32.10.x.2.5	2021-01-02	2021-01-06	5	2	Fukuoka
1.32.10.x.2.6	2021-01-09	2021-01-12	4	2	Fukuoka
1.32.10.x.2.7	2021-01-13	2021-01-13	1	1	Fukuoka
1.32.10.x.2.8	2021-01-11	2021-01-22	12	4	Fukuoka
1.32.10.x.2.9	2021-01-17	2021-02-22	37	9	Fukuoka
1.32.10.x.2.9.x.1	2021-02-04	2021-02-04	1	2	Fukuoka
1.32.10.x.2.10	2021-01-20	2021-01-23	4	5	Fukuoka
1.32.10.x.2.x.1	2021-02-12	2021-02-15	4	4	Fukuoka
1.32.10.x.2.x.2	2021-01-14	2021-02-03	21	4	Fukuoka
1.32.10.x.2.x.3	2021-02-08	2021-02-23	16	16	Fukuoka
1.32.56.1	2021-01-03	2021-01-03	1	1	Gunma
1.32.56.1	2021-01-06	2021-02-01	27	19	Mie
1.32.56.1	2021-01-20	2021-01-20	1	1	Osaka
1.32.56.1.1	2021-01-11	2021-01-19	9	5	Mie
1.32.56.1.3	2021-01-01	2021-01-01	1	1	Kagoshima
1.32.56.1.3	2021-01-05	2021-01-06	2	2	Hiroshima
1.32.56.1.3	2021-01-08	2021-02-02	26	2	Saitama
1.32.56.1.3	2021-01-18	2021-01-18	1	1	Osaka
1.32.56.1.3.1	2021-01-07	2021-01-07	1	1	Saitama
1.32.56.1.3.x.1	2021-01-12	2021-01-13	2	3	Shizuoka
1.32.56.1.4	2021-01-05	2021-01-10	6	3	Mie
1.32.56.1.5	2021-02-12	2021-05-11	89	4	Ibaraki
1.32.56.1.6	2021-01-18	2021-01-20	3	4	Mie
1.32.56.1.8	2021-02-02	2021-02-12	11	10	Saitama
1.32.56.1.9	2021-02-15	2021-02-26	12	2	Aichi
1.32.56.1.10	2021-01-14	2021-01-21	8	2	Mie
1.32.56.1.10.1	2021-01-14	2021-01-14	1	2	Mie
1.32.56.1.11	2021-01-18	2021-01-22	5	4	Mie
1.32.56.1.12	2021-01-14	2021-01-15	2	2	Mie
1.32.56.1.13	2021-01-13	2021-01-18	6	3	Mie
1.32.56.1.14	2021-01-26	2021-02-09	15	5	Mie
1.32.56.2.1	2021-01-06	2021-01-08	3	3	Mie
1.32.x.12.x.1.2	2021-01-05	2021-01-05	1	1	Kanagawa
1.32.x.12.x.1.2.x.1	2021-01-04	2021-01-12	9	2	Saitama
1.32.x.12.x.1.2.x.2	2021-01-18	2021-01-18	1	1	Saitama
1.32.x.12.x.1.2.x.2	2021-01-19	2021-01-19	1	1	Gunma
1.32.x.12.x.1.3	2021-01-08	2021-01-25	18	2	Osaka
1.32.x.12.x.1.x.1	2021-01-14	2021-01-14	1	1	Osaka
1.32.x.12.x.1.x.3	2021-01-08	2021-01-08	1	2	Nagasaki
1.34.27.2.3.1.x.1	2021-01-12	2021-01-12	1	2	Miyagi
f.1.1.3.5.1.1	2021-01-02	2021-01-04	3	2	Kumamoto
f.1.1.3.5.1.1.1	2021-01-07	2021-02-02	27	16	Kumamoto
f.1.1.3.5.1.1.1.1	2021-01-06	2021-01-14	9	7	Fukuoka
f.1.1.3.5.1.1.1.1	2021-01-06	2021-02-01	27	34	Kumamoto
f.1.1.3.5.1.1.1.1.1	2021-01-10	2021-01-19	10	4	Kumamoto
f.1.1.3.5.1.1.1.1.x.1	2021-01-12	2021-01-20	9	8	Kumamoto
f.1.1.3.5.1.1.1.1.x.2	2021-01-19	2021-01-21	3	2	Kumamoto
f.1.1.3.5.1.1.1.2	2021-01-08	2021-01-09	2	2	Kumamoto
f.1.1.3.5.1.1.2	2021-01-19	2021-01-19	1	1	Kumamoto
