haplotype	first	last	duration	total	prefecture
1.1.6.1.1.1	2021-01-06	2021-01-22	17	8	Okinawa
1.1.6.1.1.1	2021-01-12	2021-01-12	1	1	Oita
1.1.6.1.1.1	2021-01-23	2021-02-04	13	18	Yamaguchi
1.1.6.1.1.1.1	2021-01-20	2021-01-22	3	3	Okinawa
1.1.6.1.1.1.2	2021-01-03	2021-01-06	4	4	Okinawa
1.1.6.1.1.1.2.1	2021-01-03	2021-01-13	11	5	Okinawa
1.1.6.1.1.1.4.1.1	2021-01-04	2021-01-04	1	2	Kagoshima
1.1.6.1.1.1.4.1.x.1	2021-01-07	2021-01-07	1	1	Fukushima
1.1.6.1.1.1.4.1.x.1	2021-01-08	2021-01-09	2	2	Miyagi
1.1.6.1.1.1.4.1.x.1.1	2021-01-13	2021-01-19	7	2	Miyagi
1.1.6.1.1.1.4.1.x.2	2021-01-06	2021-01-10	5	2	Fukuoka
1.1.6.1.1.1.4.1.x.2.1	2021-01-27	2021-02-08	13	40	Fukuoka
1.1.6.1.1.1.4.1.x.2.1.x.1	2021-02-08	2021-02-08	1	2	Fukuoka
1.1.6.1.1.1.4.1.x.2.1.x.2	2021-02-04	2021-02-15	12	6	Fukuoka
1.1.6.1.1.1.4.1.x.2.x.1	2021-01-27	2021-01-27	1	2	Fukuoka
1.1.6.1.1.1.5	2021-01-28	2021-01-30	3	4	Okinawa
1.1.6.1.1.2	2021-01-08	2021-01-12	5	3	Mie
1.1.6.1.1.2.3	2021-02-02	2021-02-02	1	1	Mie
1.1.6.1.1.2.6	2021-01-17	2021-01-24	8	5	Gifu
1.1.6.1.1.2.6.1	2021-01-20	2021-01-27	8	4	Gifu
1.1.6.1.1.2.7	2021-01-02	2021-01-11	10	7	Hyogo
1.1.6.1.1.2.7	2021-01-02	2021-01-12	11	11	Kyoto
1.1.6.1.1.2.7	2021-01-05	2021-01-05	1	1	Shiga
1.1.6.1.1.2.7	2021-01-10	2021-01-10	1	1	Fukui
1.1.6.1.1.2.7	2021-01-13	2021-01-13	1	2	Chiba
