haplotype	first	last	duration	total	prefecture
1	2020-05-22	2020-09-16	118	26	Saitama
1	2020-05-26	2020-07-27	63	12	Kanagawa
1	2020-05-28	2020-07-29	63	38	Tokyo
1	2020-06-10	2020-06-15	6	5	Fukuoka
1	2020-06-11	2020-06-11	1	1	Kagoshima
1	2020-06-15	2020-07-15	31	7	Osaka
1	2020-06-22	2020-06-22	1	1	Wakayama
1	2020-06-22	2020-08-04	44	4	Hyogo
1	2020-06-26	2020-06-28	3	3	Kyoto
1	2020-06-29	2020-07-05	7	3	Hokkaido
1	2020-06-30	2020-08-03	35	2	Shiga
1	2020-07-05	2020-07-12	8	2	Yamagata
1	2020-07-06	2020-07-06	1	3	Tokushima
1	2020-07-09	2020-08-03	26	7	Tochigi
1	2020-07-10	2020-07-10	1	1	Hiroshima
1	2020-07-12	2020-08-07	27	6	Chiba
1	2020-07-12	2020-07-12	1	1	Tottori
1	2020-07-12	2020-08-13	33	17	Gunma
1	2020-07-14	2020-07-14	1	1	Shimane
1	2020-07-14	2020-08-04	22	3	Ibaraki
1	2020-07-15	2020-08-05	22	5	Kagawa
1	2020-07-16	2020-07-22	7	4	Yamaguchi
1	2020-07-16	2020-07-22	7	6	Ishikawa
1	2020-07-18	2020-08-12	26	15	Okayama
1	2020-07-22	2020-07-22	1	1	Nagano
1	2020-07-25	2020-07-25	1	1	Akita
1	2020-08-08	2020-08-08	1	1	Shizuoka
1	2020-08-20	2020-08-20	1	1	Miyagi
1.2	2020-07-26	2020-08-02	8	8	Okayama
1.2	2020-08-06	2020-08-06	1	1	Fukushima
1.2	2020-08-06	2020-08-06	1	1	Kagoshima
1.7	2020-07-13	2020-07-16	4	2	Kanagawa
1.11	2020-06-24	2020-08-10	48	9	Saitama
1.11	2020-07-01	2020-07-01	1	1	Ibaraki
1.11	2020-07-06	2020-07-31	26	7	Tokyo
1.11	2020-07-09	2020-07-09	1	1	Tochigi
1.11	2020-07-10	2020-07-21	12	12	Nagasaki
1.11	2020-07-12	2020-07-20	9	3	Chiba
1.11	2020-07-13	2020-08-17	36	5	Kanagawa
1.11	2020-07-13	2020-07-13	1	1	Kagoshima
1.11	2020-07-16	2020-07-16	1	1	Kumamoto
1.11	2020-07-19	2020-07-19	1	1	Ehime
1.11	2020-07-27	2020-07-30	4	4	Niigata
1.11.3	2020-07-29	2020-08-03	6	4	Niigata
1.11.3.2	2020-08-04	2020-08-05	2	2	Miyagi
1.11.3.2	2020-08-21	2020-08-21	1	1	Tochigi
1.11.3.2	2020-08-24	2020-08-30	7	5	Shiga
1.15	2020-08-23	2020-08-23	1	1	Fukui
1.17	2020-07-15	2020-07-31	17	6	Hiroshima
1.21	2020-07-21	2020-08-05	16	5	Miyazaki
1.21	2020-08-25	2020-08-25	1	1	Ibaraki
1.21.4	2020-08-03	2020-08-27	25	6	Miyazaki
1.26	2020-08-15	2020-08-16	2	14	Gunma
1.26	2020-08-19	2020-08-19	1	1	Kanagawa
1.28	2020-07-02	2020-07-14	13	8	Fukuoka
1.43	2020-07-30	2020-07-31	2	4	Chiba
1.43	2020-08-07	2020-08-10	4	2	Kanagawa
1.44	2020-07-06	2020-08-01	27	5	Saitama
1.44	2020-07-17	2020-07-17	1	1	Chiba
1.45	2020-06-03	2020-07-30	58	9	Tokyo
1.45	2020-06-17	2020-06-17	1	1	Fukuoka
1.45	2020-07-02	2020-08-06	36	12	Kanagawa
1.45	2020-07-06	2020-07-07	2	2	Hiroshima
1.45	2020-07-20	2020-08-03	15	2	Gunma
1.45	2020-07-30	2020-08-20	22	5	Saitama
1.45	2020-07-30	2020-08-10	12	2	Chiba
1.45	2020-07-30	2020-07-30	1	1	Shiga
1.45	2020-07-31	2020-07-31	1	1	Hyogo
1.45	2020-08-03	2020-08-19	17	2	Hokkaido
1.45	2020-08-04	2020-08-31	28	14	Tokushima
1.45	2020-08-20	2020-08-28	9	2	Kagawa
1.45.4	2020-07-22	2020-08-03	13	3	Kanagawa
1.45.4	2020-07-24	2020-10-05	74	115	Okinawa
1.45.4	2020-07-27	2020-07-27	1	1	Hyogo
1.45.4	2020-07-29	2020-07-29	1	1	Yamaguchi
1.45.4	2020-08-02	2020-08-06	5	3	Oita
1.45.4	2020-08-03	2020-08-06	4	2	Hokkaido
1.45.4	2020-08-06	2020-08-06	1	1	Fukuoka
1.45.4	2020-09-26	2020-09-28	3	2	Wakayama
1.45.4.4	2020-08-30	2020-10-12	44	14	Okinawa
1.45.4.4.x.1	2020-09-16	2020-10-03	18	9	Okinawa
1.45.4.13	2020-08-15	2020-08-19	5	12	Oita
1.45.4.14	2020-10-04	2020-10-13	10	5	Okinawa
1.45.4.14	2020-10-20	2020-10-20	1	1	Gifu
1.45.4.14	2020-11-09	2020-11-09	1	1	Fukui
1.45.4.14	2020-11-24	2020-11-24	1	1	Ishikawa
1.45.4.14.5	2020-10-15	2020-10-15	1	1	Kagoshima
1.45.4.14.5	2020-10-27	2020-10-27	1	1	Okinawa
1.45.4.14.5.1	2020-11-22	2020-12-10	19	8	Okinawa
1.45.4.14.x.6	2020-10-31	2020-11-30	31	23	Okinawa
1.45.4.14.x.6.8	2020-11-15	2020-11-15	1	1	Okinawa
1.45.4.14.x.6.8	2020-11-18	2020-11-22	5	2	Kanagawa
1.45.4.14.x.6.8	2020-11-24	2020-11-24	1	1	Tokyo
1.45.4.14.x.6.8	2020-12-09	2020-12-25	17	30	Kagoshima
1.45.4.14.x.6.x.8	2020-12-10	2020-12-18	9	6	Kagoshima
1.45.15	2020-07-26	2020-08-07	13	5	Hokkaido
1.45.15.1	2020-07-29	2020-08-21	24	6	Hokkaido
1.45.x.5	2020-07-22	2020-07-25	4	4	Wakayama
1.45.x.5	2020-07-28	2020-07-28	1	1	Ibaraki
1.45.x.5.2	2020-07-28	2020-08-08	12	8	Fukui
1.45.x.5.2	2020-07-30	2020-07-30	1	1	Hiroshima
1.45.x.5.2	2020-07-31	2020-07-31	1	1	Kagoshima
1.45.x.5.2	2020-08-03	2020-08-04	2	2	Saitama
1.46	2020-06-28	2020-06-28	1	1	Saitama
1.46	2020-07-12	2020-07-12	1	1	Ibaraki
1.46.1	2020-07-08	2020-07-11	4	2	Tokyo
1.46.1	2020-07-16	2020-07-16	1	1	Kanagawa
1.46.1.3	2020-07-28	2020-07-28	1	1	Tokyo
1.46.1.3	2020-08-12	2020-08-21	10	5	Kanagawa
1.46.1.3	2020-08-13	2020-08-13	1	1	Wakayama
1.46.1.3	2020-08-15	2020-08-19	5	2	Chiba
1.53	2020-07-22	2020-08-10	20	21	Tochigi
1.57	2020-07-22	2020-07-25	4	7	Kagoshima
1.57	2020-08-03	2020-08-03	1	1	Yamanashi
1.64	2020-07-20	2020-07-20	1	1	Chiba
1.64	2020-07-20	2020-07-20	1	1	Shiga
1.64.1	2020-07-31	2020-08-11	12	5	Tokyo
1.64.1	2020-08-08	2020-08-08	1	1	Chiba
1.64.1	2020-08-17	2020-08-18	2	2	Kanagawa
1.70	2020-05-22	2020-08-27	98	63	Tokyo
1.70	2020-06-09	2020-06-09	1	1	Gifu
1.70	2020-06-10	2020-09-09	92	28	Chiba
1.70	2020-06-11	2020-09-30	112	33	Kanagawa
1.70	2020-06-17	2020-07-26	40	4	Miyagi
1.70	2020-06-20	2020-09-26	99	62	Saitama
1.70	2020-06-30	2020-08-13	45	5	Tochigi
1.70	2020-07-02	2020-10-29	120	12	Fukuoka
1.70	2020-07-02	2020-07-02	1	1	Ibaraki
1.70	2020-07-03	2020-08-03	32	6	Niigata
1.70	2020-07-06	2020-08-24	50	3	Toyama
1.70	2020-07-15	2020-08-21	38	3	Hokkaido
1.70	2020-07-16	2020-08-05	21	3	Fukui
1.70	2020-07-16	2020-08-13	29	4	Nagano
1.70	2020-07-17	2020-08-15	30	9	Aichi
1.70	2020-07-25	2020-08-06	13	2	Shiga
1.70	2020-07-25	2020-07-25	1	1	Osaka
1.70	2020-07-25	2020-09-29	67	9	Mie
1.70	2020-07-27	2020-08-08	13	4	Miyazaki
1.70	2020-07-27	2020-07-27	1	1	Hiroshima
1.70	2020-07-27	2020-08-17	22	8	Hyogo
1.70	2020-08-05	2020-08-05	1	1	Iwate
1.70	2020-08-06	2020-08-10	5	2	Ishikawa
1.70	2020-08-06	2020-08-11	6	2	Akita
1.70	2020-08-11	2020-08-28	18	5	Okinawa
1.70	2020-08-14	2020-08-14	1	1	Kochi
1.70	2020-08-15	2020-08-15	1	1	Gunma
1.70.3	2020-07-31	2020-07-31	1	1	Shiga
1.70.5	2020-06-28	2020-06-28	1	2	Saitama
1.70.5	2020-07-11	2020-07-17	7	5	Chiba
1.70.5	2020-08-03	2020-08-03	1	1	Miyagi
1.70.5.x.1	2020-07-30	2020-08-20	22	22	Hokkaido
1.70.13	2020-09-18	2020-11-06	50	7	Kanagawa
1.70.13	2020-09-19	2020-11-17	60	17	Saitama
1.70.13	2020-09-29	2020-10-01	3	2	Hyogo
1.70.13	2020-09-30	2020-12-14	76	7	Tokyo
1.70.13	2020-10-03	2020-10-03	1	1	Yamanashi
1.70.13	2020-10-08	2020-11-19	43	2	Fukuoka
1.70.13	2020-10-28	2020-11-16	20	3	Miyagi
1.70.13	2020-11-02	2020-11-02	1	1	Hokkaido
1.70.13	2020-11-04	2020-11-04	1	1	Aomori
1.70.13	2020-11-09	2020-12-28	50	31	Yamaguchi
1.70.13.1	2020-11-10	2020-11-10	1	1	Kanagawa
1.70.13.1	2020-11-18	2020-11-28	11	5	Tokyo
1.70.13.1	2020-11-20	2020-11-20	1	1	Tochigi
1.70.13.1	2020-11-28	2020-11-28	1	1	Saitama
1.70.13.1.x.4	2020-12-11	2020-12-13	3	6	Yamagata
