haplotype	first	last	duration	total	prefecture
1	2020-05-22	2020-09-16	118	26	Saitama
1	2020-05-26	2020-07-27	63	12	Kanagawa
1	2020-05-28	2020-07-29	63	38	Tokyo
1	2020-07-12	2020-08-13	33	17	Gunma
1	2020-07-18	2020-08-12	26	15	Okayama
1.11	2020-07-10	2020-07-21	12	12	Nagasaki
1.26	2020-08-15	2020-08-16	2	14	Gunma
1.45	2020-07-02	2020-08-06	36	12	Kanagawa
1.45	2020-08-04	2020-08-31	28	14	Tokushima
1.45.4	2020-07-24	2020-10-05	74	115	Okinawa
1.45.4.4	2020-08-30	2020-10-12	44	14	Okinawa
1.45.4.13	2020-08-15	2020-08-19	5	12	Oita
1.45.4.14.x.6	2020-10-31	2020-11-30	31	23	Okinawa
1.45.4.14.x.6.8	2020-12-09	2020-12-25	17	30	Kagoshima
1.53	2020-07-22	2020-08-10	20	21	Tochigi
1.70	2020-05-22	2020-08-27	98	63	Tokyo
1.70	2020-06-10	2020-09-09	92	28	Chiba
1.70	2020-06-11	2020-09-30	112	33	Kanagawa
1.70	2020-06-20	2020-09-26	99	62	Saitama
1.70	2020-07-02	2020-10-29	120	12	Fukuoka
1.70.5.x.1	2020-07-30	2020-08-20	22	22	Hokkaido
1.70.13	2020-09-19	2020-11-17	60	17	Saitama
1.70.13	2020-11-09	2020-12-28	50	31	Yamaguchi
1.70.13.20.1	2020-11-10	2020-11-30	21	40	Iwate
1.70.13.20.1	2020-11-29	2021-01-05	38	20	Miyagi
1.70.13.20.1.9.2	2020-12-10	2021-01-04	26	51	Iwate
1.70.13.24.1	2020-11-16	2020-11-26	11	10	Yamaguchi
1.70.13.36.4.x.3	2020-12-19	2021-01-06	19	10	Hiroshima
1.70.13.36.4.x.4	2020-12-28	2021-02-01	36	30	Yamaguchi
1.70.13.36.5.1.x.1	2020-12-31	2021-01-21	22	14	Miyagi
1.70.13.x.9	2020-12-17	2021-01-21	36	17	Fukuoka
1.70.13.x.9.x.21	2021-02-08	2021-02-23	16	16	Fukuoka
1.70.31	2020-09-04	2020-09-30	27	22	Tochigi
1.70.31	2020-09-05	2020-09-21	17	11	Gunma
1.70.31.14	2020-09-10	2020-10-23	44	13	Tochigi
1.70.31.x.3	2020-08-24	2020-08-31	8	14	Saitama
1.70.52	2020-07-08	2020-07-19	12	21	Miyagi
1.70.58	2020-06-25	2020-07-03	9	10	Kanagawa
1.70.71	2020-08-21	2020-09-02	13	13	Toyama
1.70.78.2	2020-09-03	2020-10-02	30	20	Miyagi
1.70.98.9.1	2020-07-27	2020-08-06	11	12	Miyazaki
1.70.98.9.1.4	2020-08-11	2020-08-19	9	10	Miyazaki
1.70.98.9.1.6	2020-07-27	2020-08-21	26	19	Miyazaki
1.70.105	2020-07-09	2020-08-08	31	28	Hiroshima
1.70.105.1	2020-07-20	2020-07-28	9	17	Hiroshima
1.70.105.1.3	2020-07-21	2020-08-01	12	22	Hiroshima
1.70.109	2020-07-05	2020-07-18	14	22	Saitama
1.70.123	2020-06-19	2020-08-29	72	11	Chiba
1.70.123	2020-06-23	2020-08-05	44	14	Fukuoka
1.70.123	2020-06-26	2020-08-06	42	10	Tochigi
1.70.123	2020-07-08	2020-07-20	13	21	Tokyo
1.70.123	2020-07-26	2020-08-25	31	13	Okinawa
1.70.123.x.9	2020-07-25	2020-08-16	23	16	Ibaraki
1.70.123.x.9.1	2020-07-28	2020-08-07	11	10	Ibaraki
1.70.134.1.1	2020-08-27	2020-10-19	54	31	Miyagi
1.70.147	2020-07-16	2020-09-01	48	12	Saitama
1.70.147	2020-08-05	2020-08-15	11	12	Hyogo
1.70.149.1	2020-11-10	2021-02-01	84	25	Mie
1.70.149.1.15	2020-12-28	2021-02-12	47	11	Saitama
1.70.149.4	2020-11-07	2020-11-29	23	12	Nagano
1.70.149.4.2	2020-11-16	2020-12-11	26	38	Nagano
1.70.x.2	2020-08-31	2020-09-14	15	12	Osaka
1.70.x.19.x.2	2020-08-07	2020-09-03	28	11	Fukuoka
1.70.x.39.2.x.2	2020-08-07	2020-09-25	50	21	Ishikawa
1.73	2020-06-20	2020-08-26	68	105	Hyogo
1.73	2020-07-08	2020-08-19	43	25	Wakayama
1.73	2020-07-14	2020-08-20	38	109	Fukuoka
1.73	2020-07-14	2020-08-13	31	25	Osaka
1.73	2020-07-20	2020-08-22	34	12	Shiga
1.73	2020-07-25	2020-08-21	28	80	Kumamoto
1.73.14	2020-07-16	2020-08-07	23	11	Hyogo
1.73.14	2020-07-24	2020-08-07	15	19	Mie
1.73.14	2020-07-27	2020-09-04	40	13	Fukuoka
1.73.53.1|1.73.4.2	2020-07-21	2020-08-17	28	33	Hyogo
1.73.53.1.15|1.73.4.2.1	2020-08-01	2020-10-15	76	31	Hyogo
1.73.111	2020-07-17	2020-08-08	23	24	Fukuoka
1.73.111	2020-07-26	2020-08-04	10	28	Kumamoto
1.73.111.3	2020-08-12	2020-08-15	4	14	Fukuoka
1.73.111.18	2020-08-06	2020-09-26	52	29	Yamaguchi
1.73.111.18.11	2020-08-19	2020-09-08	21	23	Yamaguchi
1.73.111.40	2020-07-29	2020-09-03	37	37	Fukuoka
1.73.111.40.10	2020-08-20	2020-09-01	13	10	Fukuoka
1.73.122	2020-07-25	2020-08-21	28	37	Okinawa
1.73.127.2	2020-09-14	2020-09-28	15	12	Hiroshima
1.73.128.2	2020-10-02	2020-12-06	66	20	Hokkaido
1.73.137.1.3	2020-10-16	2020-10-26	11	10	Osaka
1.73.146.1|1.73.4.3	2020-08-04	2020-08-31	28	21	Tokushima
1.73.146.1.6	2020-07-27	2020-08-29	34	36	Fukuoka
1.73.146.1.6.2	2020-08-04	2020-08-27	24	14	Fukuoka
1.73.175	2020-07-30	2020-08-14	16	11	Fukuoka
1.73.x.40	2020-07-21	2020-08-11	22	34	Miyazaki
1.73.x.40.x.6	2020-08-07	2020-08-12	6	11	Hyogo
c.1.2	2020-10-06	2020-10-28	23	12	Okinawa
c.1.2.4	2020-09-21	2020-10-11	21	20	Kagoshima
c.1.2.4.11	2020-09-23	2020-10-14	22	11	Kagoshima
c.1.2.4.11.2.5.1	2020-12-15	2021-02-02	50	18	Kumamoto
c.1.2.4.11.2.5.1.2	2021-01-06	2021-02-01	27	34	Kumamoto
c.1.2.4.11.2.5.3.1	2021-01-05	2021-01-23	19	50	Fukuoka
f.6	2020-09-02	2020-09-16	15	25	Mie
f.6.2	2020-09-03	2020-09-09	7	15	Mie
g.43.2	2020-11-25	2021-02-05	73	82	Tochigi
g.43.2.31.x.1|g.43.2.19.x.1|g.43.2.24.x.2	2021-01-06	2021-01-20	15	11	Gunma
g.43.2.55	2020-12-21	2021-01-29	40	15	Tochigi
g.43.2.x.5.1	2021-01-15	2021-01-29	15	11	Tochigi
g.51	2020-09-25	2020-10-19	25	38	Fukushima
i.6.4	2021-02-19	2021-03-20	30	11	Fukuoka
i.9.3	2021-01-04	2021-01-14	11	11	Hyogo
k.7.1	2021-02-04	2021-02-07	4	20	Saitama
