haplotype	first	last	duration	total	prefecture
1	2020-05-22	2020-09-16	118	26	Saitama
1	2020-05-26	2020-08-27	94	14	Kanagawa
1	2020-05-28	2020-07-29	63	38	Tokyo
1	2020-06-10	2020-06-15	6	5	Fukuoka
1	2020-06-15	2020-07-15	31	7	Osaka
1	2020-06-22	2020-08-04	44	4	Hyogo
1	2020-06-26	2020-07-14	19	4	Kyoto
1	2020-06-29	2020-07-05	7	3	Hokkaido
1	2020-07-06	2020-07-06	1	3	Tokushima
1	2020-07-09	2020-08-03	26	7	Tochigi
1	2020-07-12	2020-08-07	27	6	Chiba
1	2020-07-12	2020-08-13	33	17	Gunma
1	2020-07-14	2020-08-04	22	3	Ibaraki
1	2020-07-15	2020-08-05	22	5	Kagawa
1	2020-07-16	2020-07-22	7	4	Yamaguchi
1	2020-07-16	2020-07-22	7	6	Ishikawa
1	2020-07-18	2020-08-12	26	15	Okayama
1.1	2020-08-11	2020-08-27	17	3	Hyogo
1.2	2020-07-26	2020-08-02	8	8	Okayama
1.2.x.1	2020-08-21	2020-08-27	7	3	Okayama
1.5	2020-06-09	2020-06-21	13	5	Tokyo
1.12	2020-06-24	2020-08-10	48	9	Saitama
1.12	2020-07-02	2020-07-13	12	4	Kyoto
1.12	2020-07-06	2020-08-31	57	8	Tokyo
1.12	2020-07-10	2020-07-21	12	12	Nagasaki
1.12	2020-07-12	2020-07-20	9	3	Chiba
1.12	2020-07-13	2020-08-17	36	5	Kanagawa
1.12	2020-07-27	2020-07-30	4	4	Niigata
1.12.4	2020-07-29	2020-08-03	6	4	Niigata
1.12.4.2	2020-08-24	2020-08-30	7	5	Shiga
1.12.4.2.1	2020-07-29	2020-08-03	6	3	Hiroshima
1.12.21	2020-08-08	2020-08-19	12	3	Fukuoka
1.12.26.x.1	2020-07-20	2020-07-24	5	3	Kanagawa
1.13	2020-06-23	2020-06-26	4	3	Saitama
1.18	2020-07-15	2020-07-31	17	7	Hiroshima
1.22	2020-07-21	2020-08-05	16	5	Miyazaki
1.22.4	2020-08-03	2020-08-27	25	6	Miyazaki
1.22.4.1	2020-08-15	2020-08-27	13	4	Miyazaki
1.22.4.1.1	2020-08-22	2020-09-01	11	4	Kumamoto
1.22.5	2020-07-31	2020-08-07	8	3	Saitama
