month	count	location
2020-01	10	domestic
2020-02	162	domestic
2020-03	686	domestic
2020-04	2841	domestic
2020-05	414	domestic
2020-06	428	domestic
2020-07	2508	domestic
2020-08	3823	domestic
2020-09	1244	domestic
2020-10	1318	domestic
2020-11	3250	domestic
2020-12	4934	domestic
2021-01	7759	domestic
2021-02	2856	domestic
2021-03	5594	domestic
2021-04	15029	domestic
2021-05	15482	domestic
2021-06	8728	domestic
2021-07	13396	domestic
2021-08	3604	domestic
2020-01	1	immigration
2020-02	0	immigration
2020-03	24	immigration
2020-04	13	immigration
2020-05	17	immigration
2020-06	32	immigration
2020-07	80	immigration
2020-08	37	immigration
2020-09	49	immigration
2020-10	62	immigration
2020-11	146	immigration
2020-12	163	immigration
2021-01	180	immigration
2021-02	57	immigration
2021-03	116	immigration
2021-04	216	immigration
2021-05	148	immigration
2021-06	120	immigration
2021-07	255	immigration
2021-08	57	immigration
