haplotype	first	last	duration	total	prefecture
1	2021-05-18	2021-09-21	127	199	Kanagawa
1	2021-06-10	2021-09-29	112	1039	Tokyo
1	2021-06-17	2021-09-14	90	284	Saitama
1	2021-06-24	2021-09-10	79	101	Chiba
1	2021-06-26	2021-08-30	66	49	Ibaraki
1	2021-06-28	2021-09-01	66	64	Fukuoka
1	2021-06-30	2021-09-03	66	33	Gunma
1	2021-06-30	2021-10-05	98	269	Osaka
1	2021-07-06	2021-09-02	59	71	Hokkaido
1	2021-07-09	2021-08-19	42	25	Mie
1	2021-07-12	2021-08-23	43	16	Yamaguchi
1	2021-07-16	2021-09-13	60	27	Tochigi
1	2021-07-19	2021-08-27	40	28	Aichi
1	2021-07-20	2021-08-30	42	10	Kumamoto
1	2021-07-23	2021-10-01	71	39	Shizuoka
1	2021-07-24	2021-10-05	74	12	Wakayama
1	2021-07-26	2021-09-27	64	22	Kyoto
1	2021-07-26	2021-08-13	19	14	Nagano
1	2021-07-26	2021-08-21	27	36	Miyagi
1	2021-07-26	2021-10-13	80	120	Hyogo
1	2021-07-27	2021-09-06	42	28	Yamagata
1	2021-07-31	2021-09-10	42	11	Fukui
1	2021-08-11	2021-08-30	20	15	Okayama
1.2	2021-07-30	2021-08-08	10	12	Ibaraki
1.8	2021-08-12	2021-09-10	30	10	Hokkaido
1.117.9	2021-08-06	2021-08-23	18	22	Shizuoka
1.117.9	2021-08-13	2021-08-26	14	11	Saitama
1.149.1	2021-07-14	2021-09-03	52	42	Tokyo
1.149.1	2021-07-16	2021-08-31	47	41	Kanagawa
1.149.1	2021-07-22	2021-08-31	41	11	Saitama
1.149.1.27.1	2021-08-12	2021-09-09	29	16	Kanagawa
1.149.1.38	2021-07-21	2021-08-13	24	19	Tokyo
1.149.1.38.7	2021-08-14	2021-09-15	33	10	Tokyo
1.149.1.63	2021-07-25	2021-09-27	65	21	Tokyo
1.149.1.63	2021-08-06	2021-09-26	52	19	Kanagawa
1.149.1.x.12	2021-08-13	2021-09-24	43	16	Tokyo
1.149.1.x.20	2021-08-10	2021-08-30	21	10	Tokyo
1.174.x.1	2021-07-27	2021-08-15	20	10	Chiba
1.203	2021-08-14	2021-09-07	25	13	Osaka
1.204	2021-07-08	2021-08-27	51	21	Kanagawa
1.204	2021-07-08	2021-09-16	71	112	Tokyo
